date,agency,subject,message
11/7/22 4:03 PM,NYC,"BX, 2 and 5 Trains, Delays",Northbound 2/5 trains are delayed while we remove a train car in need of cleaning from service at Bronx Park East.
11/7/22 3:54 PM,NYC,"Update: BKLYN, 2 and 3 Trains, Delays",Northbound 2/3 trains are running with delays after we removed a vandalized train car from service at Bergen St.
11/7/22 3:53 PM,NYC,"BKLYN, 2 and 3 Trains, Delays",Northbound 2/3 trains are delayed while we investigate a report of vandalism on a train at Bergen St.
11/7/22 3:45 PM,NYC,"MANH, A Train, Delays",Southbound A trains are running with delays after we removed a train car that needs cleaning from service at 190 St.
11/7/22 3:29 PM,NYC,"Update: BKLYN, C Train, Delays",Northbound C trains are running with delays after NYPD responded to a passenger being disruptive at Franklin Av.
11/7/22 3:25 PM,NYC,"BKLYN, C Train, Delays",Northbound C trains are delayed while NYPD responds to a passenger being disruptive at Franklin Av.
11/7/22 12:21 PM,NYC,"Update: BKLYN, N Train, Delays",Northbound N trains are running with delays after we moved a train that had its brakes activated leaving Coney Island-Stillwell Av.
11/7/22 12:18 PM,NYC,"BKLYN, N Train, Delays",Northbound N trains are delayed while we investigate why a train's brakes activated leaving Coney Island-Stillwell Av.
11/7/22 11:16 AM,NYC,"Update: BKLYN, N Train, Delays",N trains are running with delays in both directions after we restored a loss of third-rail power near 18 Av. N trains have resumed making their regular stops in Brooklyn.
11/7/22 11:15 AM,NYC,"MANH, B and C Trains, Delays",Northbound B/C trains are running with delays after EMS responded to someone in need of medical help at 86 St. Northbound B/C trains have resumed making their regular stops.
11/7/22 11:07 AM,NYC,"BKLYN, G Train, Delays",G trains are delayed in both directions while we address a signal problem at Church Av.
11/7/22 11:05 AM,NYC,"BKLYN, N Train, Trains Rerouted",N trains are running along the D line in both directions between 36 St and Coney Island-Stillwell Av. We're investigating the cause of a loss of power near 18 Av.
11/7/22 10:54 AM,NYC,"MANH, B and C Trains, Local to Express","Northbound B/C trains are running express from 59 St-Columbus Circle to 125 St while EMS responds to someone in need of medical help at 86 St. If your station is skipped, take a southbound train."
11/7/22 9:57 AM,NYC,F Line - Weekday Planned Service Change CANCELLATION,"A planned service change for this week, Nov 8 - 11, Tue to Fri, 9:45 AM to 3 PM, has been CANCELLED; as such, Jamaica-bound F trains will stop at Fort Hamilton Pkwy, 15 St-Prospect Park, and 4 Av-9 St during this time."
11/7/22 9:21 AM,NYC,"Update: QNS, R Train, Delays","Southbound R trains are running with delays after we addressed a switch problem near Queens Plaza. Travel Alternatives: For service along Broadway, take the W. For service along 4 Av in Brooklyn, take B37 or B63 buses making nearby station stops."
11/7/22 8:57 AM,NYC,"MANH, B and C Trains, Delays",Southbound B/C trains are running with delays after NYPD assisted someone in need of medical help at 116 St. One southbound B train was rerouted via the express track from 125 St to 59 St-Columbus Circle.
11/7/22 8:39 AM,NYC,"Update: BKLYN, F and G Trains, Delays",Southbound F and Church Av-bound G trains are running with delays after we investigated why a train's brakes activated at Smith-9 Sts.
11/7/22 8:39 AM,NYC,"Update: BKLYN, B Train, Delays",Northbound B trains are running with delays after a signal malfunctioned near Brighton Beach.
11/7/22 8:34 AM,NYC,"Update: 3 Train, Delays",3 trains are running with delays in both directions after NYPD/EMS responded to a conductor in need of assistance at Pennsylvania Av.
11/7/22 8:32 AM,NYC,"BKLYN, B Train, Express to Local",Northbound B trains are running on the local track from Brighton Beach to Kings Hwy while we address a signal problem near Brighton Beach.
11/7/22 8:29 AM,NYC,"BKLYN, F and G Trains, Delays",Southbound F and Church Av-bound G trains are delayed while we investigate why a train's brakes activated at Smith-9 Sts.
11/7/22 8:27 AM,NYC,"Update: QNS, N, R, and W Trains, Delays",N/R/W trains are running with delays in both directions after we addressed a switch problem near Queens Plaza. N/R/W trains have resumed making their regular stops.
11/7/22 8:21 AM,NYC,"Update: QNS, N, R, and W Trains, Multiple Changes","Northbound N/R/W trains are disrupted between Queens and Manhattan while we continue to address a switch problem near Queens Plaza. There are no N/W trains running between Astoria-Ditmars Blvd and Lexington Av/59 St in both directions. Northbound R trains are running along the Q line from 57 St-7 Av to Lexington Av/63 St, then along the F line to 36 St. Northbound W trains are running along the Q line from 57 St-7 Av to 96 St."
11/7/22 8:17 AM,NYC,"Update: 3 Train, Delays","There is limited 3 train service between New Lots Av and Utica Av in both directions. The last stop on some southbound 3 trains will be Utica Av. EMS/NYPD are responding to a conductor in need of assistance at Pennsylvania Av. At Van Siclen Av, and Pennsylvania Av, all trains will arrive and depart on the Manhattan-Bound Platform."
11/7/22 8:14 AM,NYC,"Update: QNS, N, R, and W Trains, Multiple Changes","Northbound N/R/W trains are delayed while we continue to address a switch problem near Queens Plaza. Some northbound R trains are running along the Q line from 57 St-7 Av to Lexington Av/63 St, then along the F line to 36 St. Some northbound W trains are running along the Q line from 57 St-7 Av to 96 St. Listen for onboard announcements to hear if your train will be rerouted."
11/7/22 8:09 AM,NYC,"Update: BKLYN, B Train, Delays",Southbound B trains are running with delays after we moved a train that had its brakes activated near Kings Hwy.
11/7/22 8:05 AM,NYC,"BKLYN, B Train, Delays",Southbound B trains are delayed while we investigate why a train's brakes activated near Kings Hwy.
11/7/22 8:02 AM,NYC,"Update: QNS, R Train, Delays",Northbound N/R/W trains are delayed while our crews remove debris from a track switch near Queens Plaza.
11/7/22 7:58 AM,NYC,"3 Train, Delays",Southbound 3 trains are delayed while EMS/NYPD respond to a conductor in need of assistance at Pennsylvania Av.
11/7/22 7:46 AM,NYC,"QNS, R Train, Delays",Northbound R trains have resumed making scheduled stops after we addressed a switch problem near Queens Plaza.
11/7/22 7:37 AM,NYC,"Update: MANH, A Train, Delays","Southbound A trains are running with extensive delays after we removed debris from the tracks near Dyckman St. While we get trains back on schedule, consider these alternatives: For service between Euclid Av and Ozone Park-Lefferts Blvd, take Q8 buses. Between Rockaway Blvd and Ozone Park-Lefferts Blvd, take Q112 buses. Between Rockaway Blvd and Beach 60 St, take Q52-SBS buses. Between Beach 60 St and Far Rockaway-Mott Av, take Q22 buses."
